Він лисий, але виглядає дуже привабливо;He's bald, but he looks very handsome;0001--Adam_Stone--He_s_bald__but_he_looks_very_handsome.mp3;
Мій дідусь полисів, коли йому було лише тридцять п'ять;My grandfather went bald when he was only thirty-five;0002--Jane--My_grandfather_went_bald_when_he_was_only_thirty_five.mp3;
Ти думаєш, що полисієш у майбутньому?;Do you think you will go bald in the future?;0003--Shelley_Clear_and_confident_British_fe--Do_you_think_you_will_go_bald_in_the_future_.mp3;
Вона не змогла його впізнати, бо він був лисий і не мав окулярів;She couldn't recognise him because he was bald and had no glasses;0004--Archer--She_couldn_t_recognise_him_because_he_was_bald_and_had_no_glasses.mp3;
Якби я був лисим, я б, мабуть, носив капелюх постійно;If I were bald, I would probably wear a hat all the time;0005--Amelia--If_I_were_bald__I_would_probably_wear_a_hat_all_the_time.mp3;
Він ще не лисий, але його волосся рідшає;"He's not bald yet, but his hair is getting thinner";0006--Jane--He_s_not_bald_yet__but_his_hair_is_getting_thinner.mp3;
У нього довга борода, як у Санта Клауса;He has a long beard, like Santa Claus;0007--James_British_Professional_Smooth--He_has_a_long_beard__like_Santa_Claus.mp3;
Мій брат відростив бороду під час локдауну;My brother grew a beard during the lockdown;0008--Grandfather_Joe_Gentle__warm___wise--My_brother_grew_a_beard_during_the_lockdown.mp3;
Ти надаєш перевагу чоловікам з бородою чи поголеним?;Do you prefer men with a beard or clean-shaven?;0009--Eastend_Steve--Do_you_prefer_men_with_a_beard_or_clean_shaven_.mp3;
Він збрив бороду вчора, і тепер виглядає молодше;He shaved his beard yesterday, and now he looks younger;0010--Rachel_M_Pro_British_Radio_Presenter--He_shaved_his_beard_yesterday__and_now_he_looks_younger.mp3;
Якщо ти тримаєш бороду короткою, вона виглядає охайною;If you keep your beard short, it looks tidy;0011--Elizabeth_Professional_British_Narrator--If_you_keep_your_beard_short__it_looks_tidy.mp3;
Його борода була вся в снігу після довгої прогулянки;His beard was full of snow after the long walk;0012--Adam_Stone--His_beard_was_full_of_snow_after_the_long_walk.mp3;
Вони купили великий будинок біля Лондона;They bought a big house near London;0013--Lucy_Fresh___Casual--They_bought_a_big_house_near_London.mp3;
Наприкінці цієї вулиці є великий супермаркет;"There's a big supermarket at the end of this street";0014--Allison_inviting_and_velvety_British_ac--There_s_a_big_supermarket_at_the_end_of_this_street.mp3;
Це найбільша помилка, яку я коли-небудь робив;That's the biggest mistake I've ever made;0015--AImee_ASMR_and_Meditation--That_s_the_biggest_mistake_I_ve_ever_made.mp3;
Якби у нас був великий сад, ми б вирощували свої овочі;If we had a big garden, we would grow our own vegetables;0016--Katie_X_Call_Center_English_Female--If_we_had_a_big_garden__we_would_grow_our_own_vegetables.mp3;
Велика буря наближається сьогодні вночі, тож залишайтеся вдома;A big storm is coming tonight, so stay at home;0017--Northern_Terry--A_big_storm_is_coming_tonight__so_stay_at_home.mp3;
Чому ця сумка така велика? Я не можу її нести!;"Why is this bag so big? I can't carry it!";0018--Allison_inviting_and_velvety_British_ac--Why_is_this_bag_so_big__I_can_t_carry_it_.mp3;
Небо таке синє сьогодні, ні однієї хмаринки;The sky is so blue today, not a single cloud;0020--Elizabeth_Professional_British_Narrator--The_sky_is_so_blue_today__not_a_single_cloud.mp3;
Мій улюблений колір - синій, бо він спокійний;My favourite colour is blue because it's calm;0021--Eastend_Steve--My_favourite_colour_is_blue_because_it_s_calm.mp3;
Він пофарбував стіни у своїй спальні у світло-синій;He painted his bedroom walls light blue;0022--Grandfather_Joe_Gentle__warm___wise--He_painted_his_bedroom_walls_light_blue.mp3;
Чому ти виглядаєш таким сумним? Щось сталося?;Why are you looking so blue? Did something happen?;0023--Amelia--Why_are_you_looking_so_blue__Did_something_happen_.mp3;
Якщо я побачу синю машину зовні, я знатиму, що ти приїхав;"If I see a blue car outside, I'll know you arrived";0024--Samara--If_I_see_a_blue_car_outside__I_ll_know_you_arrived.mp3;
Вона розумна і завжди отримує хороші оцінки в школі;She is clever and always gets good marks at school;0025--Blondie_Conversational--She_is_clever_and_always_gets_good_marks_at_school.mp3;
Мій пес дуже розумний - він може відкрити двері сам(ч. роду);My dog is very clever - he can open the door by himself;0026--Bradford--My_dog_is_very_clever___he_can_open_the_door_by_himself.mp3;
Це була розумна ідея - забронювати квитки онлайн;That was a clever idea to book tickets online;0027--Blondie_Conversational--That_was_a_clever_idea_to_book_tickets_online.mp3;
"Він розумний у ремонті комп'ютерів, але не дуже ладнає з людьми";He's clever at fixing computers, but not so good with people;0028--Elizabeth_Professional_British_Narrator--He_s_clever_at_fixing_computers__but_not_so_good_with_people.mp3;
Якби ти був бвльш розумніший з грошима, у тебе не було б боргів;If you were more clever with money, you wouldn't have debts;0029--Adam_Stone--If_you_were_more_clever_with_money__you_wouldn_t_have_debts.mp3;
Я не думаю, що це розумно - їхати так швидко під дощем;"I don't think it's clever to drive so fast in the rain";0030--Archie_English_teen_youth--I_don_t_think_it_s_clever_to_drive_so_fast_in_the_rain.mp3;
У неї кучеряве чорне волосся, як у її мами;She has curly black hair like her mother;0031--Axell_British_YouTube_Personality--She_has_curly_black_hair_like_her_mother.mp3;
Моє волосся було пряме, але воно стало кучерявим після дощу ;My hair was straight, but it became curly after the rain;0032--Amelia--My_hair_was_straight__but_it_became_curly_after_the_rain.mp3;
Чи надаєш ти перевагу кучерявому чи прямому волоссю?;Do you prefer curly or straight hair?;0033--Bradford--Do_you_prefer_curly_or_straight_hair_.mp3;
У маленької дівчинки є кучеряві світлі кучері, якими усі захоплюються;The little girl has curly blond curls that everyone admires;0034--Elizabeth_Professional_British_Narrator--The_little_girl_has_curly_blond_curls_that_everyone_admires.mp3;
Якби у мене було кучеряве волосся, мені не потрібно було б користуватися феном;If I had curly hair, I wouldn't need to use a hairdryer;0035--James_British_Professional_Smooth--If_I_had_curly_hair__I_wouldn_t_need_to_use_a_hairdryer.mp3;
Він виглядав кумедно у кучерявій перуці на костюмованій вечірці;He looked funny in a curly wig at the costume party;0036--Samara--He_looked_funny_in_a_curly_wig_at_the_costume_party.mp3;
Моя сестра - екстраверт, вона любить знайомитися з новими людьми;My sister is an extravert, she loves meeting new people;0037--Allison_inviting_and_velvety_British_ac--My_sister_is_an_extravert__she_loves_meeting_new_people.mp3;
Екстраверт - це хтось, хто отримує енергію від спілкування з іншими;An extravert is someone who gets energy from talking to others;0038--Katie_X_Call_Center_English_Female--An_extravert_is_someone_who_gets_energy_from_talking_to_others.mp3;
Він такий екстраверт - почав танцювати прямо посеред вулиці;He's such an extravert - he started dancing in the middle of the street;0039--Shelley_Clear_and_confident_British_fe--He_s_such_an_extravert___he_started_dancing_in_the_middle_of_the_stre.mp3;
Ти більше екстраверт чи інтроверт?;Are you more of an extravert or an introvert?;0040--Lucy_Fresh___Casual--Are_you_more_of_an_extravert_or_an_introvert_.mp3;
<div>Вона стала більш екстравертною після того, як приєдналася до драматичного гуртка</div>;She became more extravert after she joined the drama club;0041--Johnny_Kid_Serious--She_became_more_extravert_after_she_joined_the_drama_club.mp3;
